EmployeeID,Age,YearsExperience,Department,EducationLevel,MonthlyHoursWorked,MonthlySalary
202,60,28,Hr,MSc,156,260000
270,20,9,FINANCE,High School,124,180000
271,50,11,Hr,,158,250000
456,23,29,Hr,High School,99,125000
462,27,40,Finance,PhD,202,215000
727,22,0,Hr,MSc,146,205000
252,40,4,It,BSc,162,175000
702,27,19,HR,BSc,82,170000
296,-10,7,HR,MSc,143,55000
725,19,11,Finance,PhD,119,105000
720,30,0,It,high school,138,245000
749,57,19,FINANCE,High School,141,90000
338,19,27,it,PhD,211,105000
53,37,36,FINANCE,,139,175000
792,18,36,,MSc,195,90000
217,54,11,it,High School,154,95000
764,26,36,Hr,BSc,201,205000
188,34,27,IT,high school,186,215000
380,26,14,it,,175,285000
493,28,5,IT,BSc,170,145000
41,32,19,HR,MSc,237,240000
157,41,13,IT,High School,209,55000
15,55,1,HR,MSc,141,50000
65,52,8,It,High School,128,300000
521,47,36,It,PhD,216,225000
344,48,19,Finance,high school,171,165000
129,22,25,Finance,PhD,238,
648,-10,28,Hr,PhD,203,180000
472,31,0,it,MSc,140,55000
63,28,34,Hr,high school,127,200000
139,26,5,HR,High School,232,115000
499,51,36,Hr,High School,,55000
593,29,4,IT,,215,190000
392,52,32,HR,BSc,137,120000
675,52,13,Finance,,180,105000
419,18,11,It,,191,230000
289,57,,Finance,High School,141,185000
379,39,19,it,MSc,118,145000
773,46,23,HR,PhD,137,240000
490,25,33,HR,PhD,178,165000
231,28,24,IT,PhD,123,150000
41,58,28,it,high school,108,95000
28,54,38,It,High School,138,275000
135,31,30,FINANCE,MSc,150,115000
201,47,22,HR,high school,171,230000
780,52,37,HR,BSc,88,135000
33,38,19,IT,MSc,206,165000
48,54,22,Hr,,213,115000
503,22,15,,MSc,236,215000
407,36,,It,MSc,224,105000
574,31,7,Finance,PhD,223,155000
728,43,20,it,MSc,210,75000
99,21,0,HR,,100,225000
684,42,7,HR,,143,270000
726,120,28,Finance,High School,169,225000
547,59,31,It,MSc,115,155000
739,42,37,,PhD,141,115000
613,35,4,Hr,MSc,155,125000
462,57,21,HR,BSc,92,225000
643,25,33,,BSc,90,170000
769,56,0,It,PhD,133,205000
5,57,25,Finance,High School,95,210000
218,31,9,IT,High School,87,270000
503,49,29,Hr,,183,225000
767,55,17,it,,138,145000
398,50,16,HR,high school,136,135000
795,40,25,It,PhD,119,235000
393,32,7,IT,MSc,209,60000
207,50,39,it,PhD,173,160000
15,42,11,FINANCE,high school,217,205000
554,34,26,It,,123,270000
461,50,7,It,PhD,218,125000
691,19,24,it,PhD,159,70000
575,31,3,IT,,160,65000
743,57,32,FINANCE,high school,81,150000
241,57,0,,,219,245000
564,56,18,,High School,194,300000
96,23,30,Finance,MSc,169,115000
734,23,15,IT,,102,240000
485,20,13,Hr,high school,225,200000
407,24,4,HR,BSc,141,115000
231,25,40,it,High School,192,75000
749,59,25,Finance,BSc,207,105000
655,32,27,FINANCE,,141,125000
171,46,1,it,High School,117,130000
541,50,5,it,MSc,140,270000
36,47,8,IT,,208,160000
525,56,32,HR,MSc,235,115000
160,44,40,Hr,PhD,228,80000
699,53,24,,BSc,201,275000
243,46,12,It,High School,189,205000
86,55,8,It,MSc,92,120000
796,50,12,it,high school,234,265000
578,54,30,,MSc,179,130000
682,44,40,,high school,214,250000
557,50,10,HR,,101,
574,21,3,FINANCE,High School,153,280000
646,39,33,FINANCE,MSc,211,265000
796,19,37,Finance,MSc,102,215000
28,27,3,IT,High School,198,70000
620,22,37,HR,MSc,149,270000
556,27,18,HR,high school,163,180000
340,50,5,IT,MSc,180,1000000
798,55,33,,BSc,163,160000
331,30,17,FINANCE,,240,245000
640,48,12,FINANCE,PhD,107,115000
506,53,40,,high school,215,120000
348,120,22,FINANCE,BSc,80,260000
473,41,18,it,,142,210000
231,32,10,HR,High School,101,-50000
190,46,0,It,high school,149,200000
225,25,23,IT,PhD,204,220000
385,22,6,FINANCE,,228,130000
377,46,24,Finance,PhD,175,185000
283,21,20,FINANCE,High School,-20,140000
633,29,14,FINANCE,High School,158,275000
628,120,0,Hr,high school,84,
745,19,11,it,MSc,139,160000
259,44,6,IT,High School,199,205000
359,48,14,Hr,,125,245000
710,53,20,Hr,MSc,213,110000
456,53,18,Finance,BSc,135,145000
411,43,28,HR,PhD,189,220000
649,60,24,Finance,MSc,236,70000
318,44,32,HR,PhD,183,90000
677,22,31,HR,MSc,156,190000
225,37,34,IT,BSc,225,75000
234,28,37,FINANCE,High School,81,170000
684,27,25,IT,BSc,87,200000
664,57,10,it,High School,154,155000
374,55,34,HR,High School,204,55000
672,23,7,Hr,PhD,117,270000
608,25,13,FINANCE,,106,70000
472,40,9,It,BSc,99,180000
233,43,1,it,MSc,219,170000
692,,8,IT,BSc,122,85000
113,60,2,Finance,PhD,110,50000
497,29,20,it,High School,170,145000
442,43,25,it,PhD,140,265000
564,30,7,FINANCE,high school,188,160000
268,57,1,it,high school,170,205000
510,35,5,it,MSc,-20,100000
386,42,27,It,PhD,174,240000
387,50,28,,MSc,222,280000
113,57,25,Finance,MSc,223,
613,60,24,Finance,high school,92,165000
625,29,11,Finance,MSc,192,100000
81,-10,4,HR,high school,114,190000
699,53,33,Hr,High School,228,
113,21,36,,PhD,237,175000
2,22,14,Finance,MSc,127,125000
642,54,35,it,high school,114,220000
220,25,14,it,BSc,165,145000
566,59,22,Finance,MSc,238,275000
736,45,5,FINANCE,,231,60000
225,48,20,Finance,High School,193,50000
385,26,22,it,High School,179,-50000
403,46,15,HR,BSc,239,280000
638,31,14,IT,high school,178,50000
130,57,24,IT,MSc,82,130000
53,58,35,,high school,164,55000
684,39,10,,High School,204,190000
730,28,14,Finance,high school,217,145000
672,40,3,It,High School,162,75000
710,18,20,Finance,high school,104,85000
416,,12,FINANCE,BSc,147,190000
247,54,21,Finance,PhD,140,285000
439,38,18,,BSc,108,300000
203,43,33,IT,BSc,206,210000
184,,13,it,PhD,98,60000
123,53,3,Finance,PhD,153,220000
401,40,26,it,MSc,140,70000
767,18,28,it,MSc,232,180000
294,57,27,It,BSc,99,265000
280,32,34,it,BSc,127,105000
610,38,7,IT,High School,166,145000
198,26,15,HR,High School,231,270000
511,26,,HR,MSc,218,145000
752,27,35,Hr,,189,90000
144,43,29,FINANCE,,107,240000
609,58,17,Finance,MSc,138,65000
201,52,1,FINANCE,High School,212,300000
124,42,12,IT,High School,130,
187,43,3,it,,228,140000
326,28,25,HR,high school,91,235000
464,55,24,FINANCE,high school,129,180000
349,19,29,IT,High School,211,270000
771,24,10,HR,high school,192,260000
660,35,6,it,PhD,232,110000
764,44,30,FINANCE,MSc,93,110000
403,51,9,HR,MSc,111,155000
346,44,38,Finance,High School,218,185000
511,34,12,,BSc,225,1000000
147,60,30,Finance,,234,280000
148,-10,6,Hr,High School,134,-50000
711,41,,Hr,high school,199,270000
489,42,,HR,,154,155000
640,24,35,,BSc,100,260000
551,23,19,IT,high school,212,140000
338,41,3,Finance,PhD,166,85000
641,50,6,IT,high school,138,1000000
779,46,0,,PhD,168,85000
473,60,,IT,,229,255000
151,39,12,,PhD,162,175000
415,43,21,HR,,144,285000
298,45,20,IT,,143,300000
611,38,21,Finance,,150,175000
263,24,27,it,,83,160000
764,34,8,Hr,,222,260000
144,37,25,it,high school,183,110000
346,58,8,IT,,229,185000
624,37,14,it,high school,172,90000
572,39,9,Finance,,221,145000
2,45,23,Finance,PhD,227,140000
304,57,,IT,,191,285000
254,24,7,HR,BSc,240,240000
652,18,23,it,,198,300000
453,49,15,HR,,138,105000
37,30,25,HR,PhD,122,120000
160,47,26,,MSc,91,200000
9,40,36,It,PhD,119,115000
233,36,3,IT,BSc,197,100000
99,49,23,Hr,MSc,99,175000
659,47,18,Finance,High School,210,255000
208,46,35,Finance,High School,235,180000
131,120,38,IT,BSc,169,100000
404,46,9,,PhD,173,235000
152,47,24,FINANCE,high school,92,215000
54,33,17,FINANCE,BSc,145,260000
120,57,18,FINANCE,MSc,116,140000
673,36,35,,MSc,145,75000
628,35,9,Hr,,115,275000
587,18,32,Finance,High School,105,1000000
625,31,4,IT,MSc,154,235000
420,19,34,,BSc,187,290000
422,45,33,Finance,MSc,122,255000
104,47,32,HR,BSc,229,185000
254,55,20,it,high school,227,50000
227,21,16,it,,87,220000
112,18,21,,High School,108,245000
510,25,36,Finance,MSc,119,85000
473,46,14,It,BSc,237,1000000
99,56,34,Hr,PhD,207,
153,20,27,FINANCE,High School,163,280000
338,49,6,Hr,high school,195,80000
706,27,31,Hr,BSc,223,100000
163,27,10,,,141,240000
720,36,9,HR,,86,65000
681,,8,Hr,high school,124,170000
161,51,13,it,high school,234,105000
580,50,12,HR,,167,175000
,40,24,IT,MSc,152,235000
398,45,1,Hr,MSc,-20,275000
277,49,34,Hr,BSc,116,105000
504,24,6,IT,PhD,198,260000
392,46,20,Hr,BSc,136,300000
135,25,17,IT,PhD,87,-50000
195,18,2,HR,high school,174,230000
401,20,,it,High School,196,275000
640,41,38,IT,BSc,189,-50000
33,40,40,It,BSc,99,165000
688,25,10,,PhD,203,125000
460,54,38,,high school,132,110000
470,20,23,IT,high school,198,170000
375,50,18,,PhD,91,
22,45,3,Hr,high school,96,
750,25,25,FINANCE,,143,1000000
670,51,37,FINANCE,MSc,121,
38,52,,,,173,65000
230,49,31,HR,High School,236,100000
365,41,38,Finance,BSc,226,205000
563,31,35,HR,High School,90,290000
438,49,39,Finance,BSc,177,80000
776,,36,FINANCE,MSc,150,275000
283,60,32,FINANCE,high school,187,100000
27,33,35,IT,,137,185000
226,21,2,it,PhD,113,
277,54,8,It,,99,250000
798,38,7,HR,MSc,129,160000
609,31,32,Hr,High School,181,270000
284,48,5,Finance,PhD,217,160000
481,35,40,,high school,239,295000
453,24,38,Hr,MSc,131,185000
659,27,3,it,PhD,94,260000
516,24,12,Finance,MSc,163,280000
547,50,1,HR,MSc,210,175000
192,40,4,IT,high school,116,170000
49,38,26,Hr,BSc,205,
512,36,31,it,PhD,119,190000
17,36,20,HR,high school,151,140000
172,53,7,FINANCE,MSc,119,210000
220,46,37,FINANCE,high school,135,225000
158,35,7,HR,BSc,230,115000
477,19,2,HR,,183,115000
46,18,2,HR,PhD,218,220000
373,22,21,Finance,BSc,189,195000
518,37,5,HR,High School,215,185000
99,28,1,Hr,PhD,172,130000
745,59,22,it,BSc,173,60000
37,19,1,Finance,MSc,135,125000
280,20,37,HR,PhD,139,275000
349,40,16,It,PhD,217,195000
497,29,34,,high school,118,1000000
302,37,33,It,MSc,107,190000
181,22,22,it,High School,128,270000
607,54,29,FINANCE,,,120000
99,55,7,IT,BSc,204,275000
700,47,21,IT,high school,92,170000
116,26,35,,BSc,115,300000
191,51,4,FINANCE,High School,180,235000
253,-10,12,Finance,High School,105,255000
161,52,28,Finance,PhD,165,280000
256,39,30,Finance,High School,83,-50000
323,-10,15,IT,BSc,161,
128,41,,It,MSc,206,1000000
18,34,29,IT,MSc,167,235000
793,27,15,Hr,PhD,206,160000
735,47,11,HR,,199,170000
566,,16,Finance,BSc,101,255000
570,40,15,It,BSc,209,80000
323,49,11,it,High School,110,155000
686,34,7,,BSc,198,130000
792,34,19,it,high school,90,135000
626,31,2,HR,,125,290000
288,26,15,It,High School,175,250000
663,57,29,IT,high school,89,95000
639,19,22,IT,PhD,207,95000
155,120,27,Hr,MSc,231,80000
490,42,39,Hr,PhD,178,285000
386,56,4,IT,MSc,191,295000
785,26,19,it,PhD,139,235000
104,39,39,,BSc,166,180000
393,60,0,Finance,high school,224,1000000
246,,29,it,MSc,144,210000
176,21,20,,High School,136,50000
39,43,19,Hr,high school,185,265000
477,46,5,HR,High School,88,-50000
682,120,21,,high school,101,215000
759,51,17,IT,high school,220,65000
538,40,7,Hr,PhD,168,130000
408,54,38,Hr,MSc,97,65000
525,28,31,Finance,MSc,194,260000
506,23,32,IT,high school,224,
36,35,15,Finance,BSc,222,175000
685,38,11,IT,BSc,185,65000
20,59,37,Finance,High School,94,50000
321,53,33,,High School,142,80000
776,58,13,it,PhD,92,195000
512,55,35,HR,high school,160,295000
400,51,32,HR,High School,111,90000
654,34,22,IT,High School,216,220000
471,54,1,It,,119,85000
143,42,40,FINANCE,high school,227,165000
92,55,20,Hr,PhD,161,140000
354,29,1,Hr,High School,156,225000
800,40,26,IT,PhD,155,295000
727,59,8,,MSc,117,1000000
51,39,0,Finance,PhD,150,260000
665,38,10,It,BSc,127,180000
698,44,2,it,BSc,97,205000
575,48,22,Finance,PhD,223,115000
190,23,25,Finance,BSc,118,135000
125,44,3,IT,MSc,168,185000
150,57,17,IT,high school,141,190000
314,51,5,,BSc,220,125000
570,29,34,Hr,BSc,188,220000
342,120,21,IT,PhD,160,280000
305,24,14,IT,MSc,213,200000
692,27,21,IT,high school,156,65000
682,120,36,,PhD,169,230000
783,34,,Hr,PhD,93,130000
54,43,11,it,,174,240000
444,38,,it,MSc,133,285000
613,45,37,FINANCE,high school,211,275000
264,,17,FINANCE,MSc,118,175000
53,19,34,IT,high school,151,285000
572,60,29,FINANCE,MSc,104,240000
620,18,23,Hr,PhD,156,250000
5,53,,,PhD,239,65000
103,43,29,it,High School,199,195000
196,46,13,Finance,BSc,132,195000
774,38,5,it,,235,155000
350,28,2,it,MSc,210,100000
47,57,15,Hr,,229,55000
656,28,6,FINANCE,High School,175,265000
269,53,13,Finance,BSc,151,105000
370,56,8,Hr,MSc,141,195000
636,57,14,IT,high school,85,225000
106,52,20,,BSc,111,135000
670,51,34,HR,PhD,178,175000
659,41,1,it,High School,217,-50000
657,39,26,HR,BSc,210,80000
120,22,1,,BSc,155,50000
787,50,34,,PhD,138,175000
604,53,17,Hr,MSc,110,160000
58,37,13,Hr,high school,172,175000
346,36,19,Hr,PhD,148,270000
741,52,17,HR,high school,131,75000
474,60,9,Hr,MSc,168,75000
117,34,24,,BSc,206,265000
791,120,1,IT,high school,110,85000
127,60,24,Hr,High School,163,165000
393,51,32,It,High School,206,155000
641,26,35,FINANCE,PhD,229,140000
58,43,30,HR,MSc,211,230000
634,19,13,It,PhD,92,135000
513,26,0,Hr,PhD,124,200000
751,26,15,,,206,230000
96,57,2,IT,PhD,193,195000
638,34,34,it,,99,255000
118,18,40,Finance,High School,160,210000
560,42,5,FINANCE,High School,,95000
601,60,24,Finance,PhD,208,230000
488,57,12,Hr,High School,222,105000
237,59,33,FINANCE,MSc,96,
272,42,7,FINANCE,,231,195000
189,56,20,IT,,137,180000
704,52,33,FINANCE,PhD,151,240000
447,20,3,HR,High School,188,90000
581,54,24,It,high school,102,
790,-10,14,It,,151,150000
247,-10,3,It,PhD,87,105000
76,47,11,HR,PhD,138,190000
154,55,31,Finance,MSc,190,210000
656,51,31,IT,BSc,92,260000
435,29,27,FINANCE,BSc,235,-50000
86,36,12,HR,,95,120000
697,54,30,It,MSc,198,55000
285,-10,13,Hr,MSc,81,1000000
220,34,19,it,MSc,224,240000
69,27,17,FINANCE,,109,-50000
47,29,28,HR,BSc,182,265000
94,33,5,,MSc,92,
750,41,31,HR,High School,175,135000
453,36,28,IT,PhD,173,60000
204,25,1,IT,PhD,161,80000
218,48,22,HR,high school,92,260000
474,38,18,It,high school,173,135000
432,34,30,it,,228,265000
341,40,4,FINANCE,,191,235000
551,54,18,IT,PhD,134,230000
612,33,33,FINANCE,High School,160,210000
289,23,9,It,BSc,195,265000
254,25,24,FINANCE,BSc,222,200000
734,42,1,Hr,,187,100000
357,35,10,IT,High School,132,65000
23,42,30,It,,207,135000
762,29,14,It,BSc,237,65000
522,32,8,it,,240,290000
758,43,22,it,MSc,136,215000
100,58,18,Hr,,131,190000
180,120,8,It,PhD,216,165000
223,43,34,Finance,,190,155000
762,49,20,It,PhD,80,55000
659,27,8,it,High School,123,265000
442,33,27,Finance,BSc,154,75000
608,24,6,IT,high school,177,255000
769,34,15,IT,high school,88,170000
325,40,15,FINANCE,BSc,111,150000
516,43,32,HR,high school,94,125000
16,38,3,it,,219,200000
792,39,3,HR,High School,215,115000
336,24,38,Finance,High School,151,240000
759,31,39,it,BSc,234,185000
258,32,16,Hr,high school,91,205000
497,24,36,It,,144,185000
160,26,38,Hr,High School,186,300000
475,25,28,Finance,High School,121,290000
664,40,35,it,MSc,194,90000
690,46,37,,MSc,218,270000
675,35,38,Finance,High School,182,155000
380,48,36,,BSc,174,205000
545,47,34,It,PhD,96,70000
691,56,6,IT,PhD,239,160000
427,52,26,IT,,164,70000
613,35,27,Finance,High School,230,255000
268,59,21,HR,High School,135,-50000
577,56,13,it,High School,213,205000
417,34,6,it,BSc,165,95000
168,31,36,IT,MSc,181,240000
43,48,21,FINANCE,High School,133,120000
556,41,4,Hr,High School,194,80000
285,52,1,FINANCE,high school,218,190000
397,-10,26,It,BSc,167,280000
12,120,20,Hr,,128,60000
607,51,37,Hr,High School,228,140000
302,20,14,Finance,high school,194,95000
253,54,20,IT,PhD,142,185000
499,60,9,FINANCE,,183,190000
754,57,22,FINANCE,High School,162,120000
35,43,38,IT,High School,182,220000
727,40,4,FINANCE,high school,235,75000
90,-10,0,,BSc,96,105000
776,56,12,IT,High School,85,280000
605,32,20,Finance,PhD,226,235000
602,21,25,HR,High School,107,110000
418,46,20,Hr,PhD,117,190000
115,39,17,Finance,,198,140000
617,42,36,it,,116,60000
196,30,31,It,MSc,194,85000
501,35,35,HR,MSc,147,85000
626,50,16,it,PhD,122,145000
493,33,34,Hr,BSc,,280000
75,120,10,FINANCE,High School,137,65000
413,59,20,IT,High School,92,300000
376,-10,25,Hr,MSc,131,150000
420,19,3,Finance,PhD,137,60000
729,52,33,It,High School,111,270000
277,59,17,Finance,High School,184,85000
761,51,39,HR,BSc,162,160000
676,47,34,HR,high school,178,125000
394,30,40,It,MSc,183,110000
457,30,28,,MSc,107,60000
192,35,28,it,high school,208,285000
739,49,37,it,High School,127,90000
689,49,,HR,BSc,119,115000
99,52,20,HR,BSc,176,110000
548,56,,FINANCE,MSc,193,-50000
96,,12,IT,BSc,211,80000
664,46,40,FINANCE,,234,120000
663,46,16,FINANCE,high school,216,80000
190,-10,8,,High School,190,235000
736,33,40,it,,223,215000
37,-10,0,,high school,155,250000
780,27,1,,PhD,110,155000
369,47,28,It,MSc,198,165000
695,42,32,it,BSc,221,290000
525,56,9,IT,PhD,104,230000
279,37,39,Finance,BSc,113,265000
217,22,20,HR,,146,50000
798,18,27,HR,High School,231,95000
273,47,10,IT,High School,197,260000
62,20,33,,High School,152,125000
596,120,7,FINANCE,BSc,105,275000
729,31,21,It,PhD,227,85000
342,47,7,,High School,183,290000
397,21,14,HR,PhD,89,170000
699,35,16,Hr,BSc,146,295000
19,54,22,FINANCE,,231,105000
177,42,23,HR,PhD,84,170000
612,18,18,Hr,,106,130000
396,,4,,BSc,192,175000
445,32,31,IT,BSc,94,275000
233,26,0,IT,MSc,-20,285000
76,32,22,FINANCE,BSc,184,115000
265,41,36,HR,BSc,123,250000
455,21,7,it,high school,105,225000
796,29,12,Hr,High School,500,160000
718,54,7,It,MSc,174,260000
735,54,22,HR,MSc,163,75000
384,60,0,It,MSc,219,280000
564,23,23,HR,high school,211,70000
506,56,34,it,,166,260000
367,,23,it,BSc,191,170000
144,41,16,FINANCE,High School,208,135000
69,28,4,FINANCE,PhD,168,110000
99,30,19,it,,145,260000
396,51,20,Finance,BSc,237,115000
25,42,39,it,high school,210,185000
469,24,30,IT,BSc,201,135000
484,21,35,IT,BSc,228,185000
565,25,10,Finance,high school,163,300000
151,37,14,,MSc,195,180000
144,46,18,Hr,MSc,195,205000
569,120,6,,High School,117,280000
39,,27,It,High School,222,90000
109,27,4,,MSc,189,245000
693,60,4,HR,,125,205000
42,51,29,,PhD,104,145000
186,43,31,HR,BSc,100,185000
398,58,7,Finance,PhD,200,210000
223,20,9,IT,BSc,201,65000
634,23,37,FINANCE,MSc,212,275000
133,22,31,HR,High School,149,215000
163,22,27,IT,,192,285000
215,40,16,Hr,High School,186,60000
733,26,30,It,PhD,191,175000
235,52,7,Hr,High School,187,85000
658,37,39,Finance,MSc,126,75000
751,59,24,,,170,125000
588,52,8,,PhD,97,165000
9,35,1,it,,228,285000
74,34,14,it,BSc,183,240000
492,41,2,it,High School,230,195000
253,20,35,Hr,,119,270000
230,49,3,HR,high school,217,110000
519,52,13,It,High School,168,70000
174,55,40,it,BSc,140,170000
653,30,40,Finance,,84,145000
168,42,24,Finance,PhD,201,
170,26,9,it,BSc,134,135000
393,21,20,,high school,116,280000
795,31,35,it,,135,135000
634,54,11,It,MSc,181,55000
194,51,26,it,High School,172,95000
517,28,39,It,PhD,152,270000
29,58,1,Finance,MSc,138,295000
165,20,12,it,,81,280000
422,45,31,Hr,,183,105000
339,46,30,FINANCE,BSc,130,280000
648,26,15,Hr,,109,110000
496,20,31,Finance,PhD,90,295000
365,42,31,It,MSc,187,280000
342,51,33,Hr,PhD,155,100000
500,29,10,It,high school,169,140000
657,59,9,Hr,high school,202,220000
511,26,14,Hr,High School,204,240000
327,32,16,It,High School,201,-50000
217,57,39,HR,high school,173,175000
301,42,17,Hr,,182,275000
132,22,8,it,PhD,500,115000
70,28,24,FINANCE,high school,110,
252,51,39,Finance,High School,131,270000
415,41,13,HR,high school,168,265000
787,32,24,It,,155,165000
445,55,21,HR,high school,208,250000
182,25,29,IT,PhD,101,50000
167,22,19,IT,MSc,119,300000
91,43,20,Hr,,180,260000
714,35,31,Hr,High School,190,155000
531,23,20,it,PhD,208,160000
39,54,34,FINANCE,high school,144,
126,30,31,Finance,high school,228,140000
451,45,29,HR,MSc,158,135000
173,22,38,IT,High School,101,105000
653,30,11,Hr,High School,178,185000
754,34,40,,BSc,87,185000
220,57,17,,High School,96,210000
638,120,20,Finance,MSc,96,140000
58,49,12,HR,BSc,169,185000
660,46,20,Hr,BSc,220,1000000
476,20,7,Hr,high school,224,290000
456,57,39,IT,high school,160,230000
361,51,6,IT,High School,157,175000
1,57,22,Hr,BSc,85,220000
387,44,31,It,high school,-20,215000
348,30,10,Hr,MSc,189,220000
190,120,21,Finance,high school,93,245000
505,50,21,Hr,,151,125000
191,23,24,it,,222,235000
508,41,21,FINANCE,high school,133,110000
369,36,27,it,BSc,106,160000
409,33,28,it,BSc,92,
117,57,12,It,PhD,238,155000
134,45,17,It,,-20,125000
58,50,1,,MSc,139,185000
556,58,28,Hr,BSc,85,285000
685,30,20,it,High School,137,220000
672,60,14,It,,128,270000
173,120,26,IT,MSc,230,275000
149,42,30,Hr,MSc,500,85000
80,59,14,Finance,BSc,105,265000
213,53,22,FINANCE,MSc,126,155000
203,44,23,HR,BSc,84,150000
764,55,12,Hr,high school,99,175000
229,24,21,HR,,213,245000
676,22,36,it,PhD,138,150000
227,60,32,FINANCE,high school,225,170000
659,120,2,HR,,211,250000
532,48,18,it,BSc,96,50000
441,40,22,IT,,93,75000
402,59,28,HR,BSc,92,160000
47,27,29,FINANCE,high school,214,300000
233,49,38,,High School,207,160000
305,60,24,Hr,High School,123,260000
526,47,36,it,,198,260000
143,56,7,Hr,High School,222,160000
415,48,,FINANCE,BSc,98,205000
513,35,15,It,MSc,142,195000
373,53,7,it,BSc,-20,110000
566,19,0,HR,MSc,160,260000
259,31,4,it,high school,-20,135000
656,30,2,Hr,PhD,226,160000
471,46,0,IT,MSc,227,120000
12,29,3,it,High School,179,210000
330,56,39,HR,BSc,-20,150000
736,19,34,It,high school,239,240000
784,49,31,,High School,201,160000
358,30,,Finance,high school,123,180000
408,,33,IT,PhD,183,270000
668,44,24,,BSc,231,265000
373,58,9,It,,140,135000
8,34,20,it,BSc,204,165000
122,57,38,Hr,PhD,224,300000
348,48,26,FINANCE,BSc,150,280000
676,51,26,Hr,,186,245000
90,41,1,,MSc,129,300000
648,120,40,HR,high school,144,255000
698,52,12,Hr,,178,80000
316,23,8,IT,High School,111,295000
178,36,35,Hr,PhD,,285000
540,47,21,HR,MSc,220,145000
732,24,,Finance,High School,137,180000
41,27,25,it,High School,207,75000
740,58,11,FINANCE,PhD,221,180000
704,49,16,,MSc,191,90000
502,51,13,it,High School,147,-50000
145,45,13,Hr,High School,119,270000
201,32,33,It,MSc,223,200000
724,47,19,it,BSc,211,150000
461,54,10,Finance,High School,169,175000
732,46,15,Hr,high school,107,245000
752,39,30,FINANCE,MSc,175,285000
558,21,5,HR,High School,110,270000
547,37,18,Finance,PhD,82,110000
253,49,36,Hr,,215,290000
390,53,3,Finance,high school,103,160000
594,21,3,it,,94,145000
256,44,19,FINANCE,,238,230000
709,34,9,HR,High School,124,
450,29,23,Hr,high school,87,-50000
10,39,34,IT,high school,150,185000
798,34,25,,BSc,187,130000
242,27,36,HR,,194,185000
251,18,37,IT,high school,182,250000
5,39,20,Finance,BSc,204,55000
119,43,39,It,MSc,136,170000
,35,38,HR,BSc,109,295000
374,31,20,Finance,PhD,225,250000
65,46,9,IT,High School,193,75000
146,29,37,it,MSc,196,100000
